CENSUSCODE,OTHER_OTHER,RESIDENTIAL_SINGLE FAMILY,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,TOTAL_RESIDENTIAL,TOTAL_BUILDING
60010950100,565,0,0,0,0,565
60010950200,423,0,0,0,0,423
60010950300,723,0,0,0,0,723
60010950500,529,0,0,0,0,529
60010950600,721,0,0,0,0,721
60010950700,719,0,0,0,0,719
60010950900,905,0,0,0,0,905
60020951800,515,0,0,0,0,515
60040952000,2,0,0,0,0,2
60050951000,789,0,0,0,0,789
60050951100,1430,0,0,0,0,1430
60050951201,943,0,0,0,0,943
60050951202,1088,0,0,0,0,1088
60050951203,1401,0,0,0,0,1401
60050951300,887,0,0,0,0,887
60050951500,496,0,0,0,0,496
60050951600,1276,0,0,0,0,1276
