CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
11001000101,10,24,1,63,88,98
11001000102,146,48,1,384,433,579
11001000201,65,0,0,0,0,65
11001000202,118,60,2,318,380,498
11001000300,27,89,0,210,299,326
11001000400,110,2,1,406,409,519
11001000501,61,17,3,20,40,101
11001000502,16,35,1,334,370,386
11001000600,50,43,0,881,924,974
11001000702,12,65,0,5,70,82
11001000703,8,12,0,7,19,27
11001000704,8,23,0,221,244,252
11001000802,43,43,0,583,626,669
11001000803,15,15,0,25,40,55
11001000804,67,11,0,981,992,1059
11001000902,50,36,0,765,801,851
11001000903,49,6,0,387,393,442
11001000904,31,2,0,1101,1103,1134
11001001002,57,53,0,59,112,169
11001001003,26,5,0,1121,1126,1152
11001001004,69,20,0,1128,1148,1217
11001001100,78,15,1,1129,1145,1223
11001001200,51,26,1,852,879,930
11001001301,15,9,1,630,640,655
11001001303,30,12,0,139,151,181
11001001304,12,23,0,53,76,88
11001001401,13,8,0,812,820,833
11001001402,13,18,1,747,766,779
11001001500,12,3,1,2069,2073,2085
11001001600,42,6,0,1656,1662,1704
11001001702,67,28,0,628,656,723
11001001803,9,46,0,201,247,256
11001001804,29,72,0,410,482,511
11001001901,35,24,0,834,858,893
11001001902,37,5,0,589,594,631
11001002001,29,48,0,378,426,455
11001002002,64,37,0,709,746,810
11001002101,53,49,0,159,208,261
11001002102,39,65,0,264,329,368
11001002201,14,4,0,119,123,137
11001002202,11,59,0,56,115,126
11001002301,13,16,0,145,161,174
11001002302,92,25,0,0,25,117
11001002400,56,50,0,240,290,346
11001002501,45,22,0,102,124,169
11001002503,30,33,0,28,61,91
11001002504,25,32,0,50,82,107
11001002600,32,1,0,773,774,806
11001002702,18,80,0,87,167,185
11001002703,5,41,1,50,92,97
11001002704,4,22,0,35,57,61
11001002801,14,33,0,19,52,66
11001002802,23,36,0,8,44,67
11001002900,25,54,0,59,113,138
11001003000,12,52,0,15,67,79
11001003100,31,58,0,56,114,145
11001003200,30,61,0,125,186,216
11001003301,32,49,0,69,118,150
11001003302,16,30,0,23,53,69
11001003400,111,60,0,89,149,260
11001003500,64,44,0,65,109,173
11001003600,13,59,0,24,83,96
11001003701,11,40,0,2,42,53
11001003702,14,30,0,2,32,46
11001003801,17,26,0,2,28,45
11001003802,20,42,2,2,46,66
11001003901,6,28,2,6,36,42
11001003902,13,37,0,13,50,63
11001004001,10,75,0,12,87,97
11001004002,11,47,2,7,56,67
11001004100,96,37,4,216,257,353
11001004201,18,55,0,14,69,87
11001004202,27,59,2,20,81,108
11001004300,28,48,0,21,69,97
11001004401,35,31,0,14,45,80
11001004402,35,35,0,32,67,102
11001004600,59,56,0,40,96,155
11001004702,29,9,2,4,15,44
11001004703,13,8,0,0,8,21
11001004704,21,33,0,3,36,57
11001004801,42,64,1,36,101,143
11001004802,31,69,0,17,86,117
11001004901,29,46,0,25,71,100
11001004902,35,38,6,8,52,87
11001005001,21,44,0,16,60,81
11001005003,7,18,1,1,20,27
11001005004,7,38,0,1,39,46
11001005202,28,67,3,15,85,113
11001005203,8,11,2,0,13,21
11001005302,10,27,2,1,30,40
11001005303,21,22,0,4,26,47
11001005501,17,14,4,1,19,36
11001005502,35,44,6,6,56,91
11001005503,16,11,1,1,13,29
11001005601,9,17,5,14,36,45
11001005602,18,9,0,6,15,33
11001005801,29,6,0,1,7,36
11001005802,67,4,2,0,6,73
11001005900,63,7,3,0,10,73
11001006400,103,63,0,14,77,180
11001006500,62,68,0,57,125,187
11001006600,35,71,0,71,142,177
11001006700,15,90,0,132,222,237
11001006801,10,44,0,47,91,101
11001006802,16,32,0,70,102,118
11001006804,76,0,2,2,4,80
11001006900,48,60,0,74,134,182
11001007000,64,85,0,123,208,272
11001007100,64,57,0,56,113,177
11001007201,120,11,1,0,12,132
11001007202,27,6,0,0,6,33
11001007203,37,21,0,16,37,74
11001007301,659,0,0,0,0,659
11001007304,31,96,2,243,341,372
11001007401,51,99,0,52,151,202
11001007403,8,54,0,67,121,129
11001007404,31,74,0,185,259,290
11001007406,18,53,0,27,80,98
11001007407,32,48,1,153,202,234
11001007408,22,97,0,53,150,172
11001007409,9,80,0,135,215,224
11001007502,26,157,0,171,328,354
11001007503,68,56,0,225,281,349
11001007504,29,69,0,139,208,237
11001007601,76,95,0,375,470,546
11001007603,54,113,0,549,662,716
11001007604,78,111,0,577,688,766
11001007605,11,52,0,203,255,266
11001007703,17,123,0,238,361,378
11001007707,32,56,0,727,783,815
11001007708,12,124,0,150,274,286
11001007709,59,91,0,191,282,341
11001007803,88,115,0,541,656,744
11001007804,72,72,2,418,492,564
11001007806,63,75,0,446,521,584
11001007807,55,47,0,290,337,392
11001007808,63,85,0,498,583,646
11001007809,51,35,0,496,531,582
11001007901,34,57,0,82,139,173
11001007903,19,15,0,44,59,78
11001008001,28,38,0,85,123,151
11001008002,33,59,0,59,118,151
11001008100,19,67,0,65,132,151
11001008200,42,96,0,58,154,196
11001008301,38,40,0,49,89,127
11001008302,25,41,2,41,84,109
11001008402,42,39,0,49,88,130
11001008410,33,26,0,63,89,122
11001008701,30,28,0,39,67,97
11001008702,45,41,0,60,101,146
11001008802,36,59,0,109,168,204
11001008803,132,53,1,29,83,215
11001008804,56,63,0,25,88,144
11001008903,17,49,0,36,85,102
11001008904,21,57,0,15,72,93
