CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
66010950100,794,0,0,0,0,794
66010950200,291,0,0,0,0,291
66010950300,485,0,0,0,0,485
66010950401,897,0,0,356,356,1253
66010950402,1133,7,0,297,304,1437
66010950501,404,0,0,107,107,511
66010950502,1230,0,0,481,481,1711
66010950701,1113,1,0,474,475,1588
66010950702,798,0,0,283,283,1081
66010950801,745,0,0,230,230,975
66010950802,787,0,0,179,179,966
66010950900,769,0,0,425,425,1194
66010951000,672,0,0,243,243,915
66010951100,1052,20,0,371,391,1443
66010951600,111,0,0,9,9,120
66010951700,575,0,0,244,244,819
66010951800,216,0,0,0,0,216
66010951901,291,12,0,56,68,359
66010951902,1094,44,0,17,61,1155
66010952200,328,29,0,59,88,416
66010952300,599,34,0,76,110,709
66010952400,238,4,0,30,34,272
66010952700,807,0,0,490,490,1297
66010952800,6,0,0,0,0,6
66010952900,936,1,23,419,443,1379
66010953000,481,13,0,160,173,654
66010953101,810,0,0,399,399,1209
66010953102,424,18,0,197,215,639
66010953200,454,0,0,194,194,648
66010953300,552,9,0,210,219,771
66010953400,426,1,3,26,30,456
66010953500,74,0,0,0,0,74
66010953600,581,0,0,314,314,895
66010953900,949,0,0,398,398,1347
66010954000,475,9,0,243,252,727
66010954300,275,0,0,122,122,397
66010954400,325,0,0,7,7,332
66010954500,938,0,0,0,0,938
66010954700,443,0,0,112,112,555
66010954800,458,0,0,148,148,606
66010955100,764,0,0,340,340,1104
66010955200,579,0,0,252,252,831
66010955300,321,0,0,102,102,423
66010955400,128,0,0,41,41,169
66010955600,238,0,0,121,121,359
66010955700,1222,0,0,478,478,1700
66010955800,1582,51,0,663,714,2296
66010955900,546,11,0,146,157,703
66010956000,383,0,0,127,127,510
66010956100,508,4,0,204,208,716
66010956200,968,0,0,320,320,1288
66010956300,618,0,0,193,193,811
66010980100,91,0,0,0,0,91
66010980400,22,0,0,0,0,22
