CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
69085950100,8,0,0,0,0,8
69100950100,943,30,0,0,30,973
69110000100,298,0,0,207,207,505
69110000200,244,0,0,121,121,365
69110000300,497,0,0,29,29,526
69110000400,102,0,0,338,338,440
69110000500,188,0,0,202,202,390
69110000600,510,0,0,0,0,510
69110000700,565,0,0,86,86,651
69110000800,253,0,1,129,130,383
69110000900,131,0,0,417,417,548
69110001000,544,0,0,6,6,550
69110001100,328,0,0,5,5,333
69110001200,332,0,0,115,115,447
69110001300,292,0,0,497,497,789
69110001400,649,0,0,539,539,1188
69110001500,886,0,0,45,45,931
69110001600,179,0,0,1129,1129,1308
69110001700,796,0,0,41,41,837
69110990000,4,0,0,0,0,4
69120950101,521,0,0,0,0,521
69120950201,349,0,0,0,0,349
69120950202,16,0,0,0,0,16
