CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
72001956300,1836,0,0,5,5,1841
72001956400,1307,0,0,3,3,1310
72001956500,1258,0,0,39,39,1297
72001956600,128,46,0,324,370,498
72001956700,117,47,0,327,374,491
72001956800,1522,0,0,409,409,1931
72003430100,1871,0,0,418,418,2289
72003430200,238,180,0,1375,1555,1793
72003430300,284,130,0,534,664,948
72003430401,1308,0,0,679,679,1987
72003430402,1929,0,0,5,5,1934
72003430501,2063,2,0,581,583,2646
72003430502,1881,0,0,4,4,1885
72003430601,1848,0,0,40,40,1888
72003430602,771,11,0,784,795,1566
72005400100,1367,0,0,1124,1124,2491
72005400300,736,0,0,1023,1023,1759
72005400400,667,154,0,854,1008,1675
72005400501,187,25,0,1179,1204,1391
72005400502,193,33,0,1918,1951,2144
72005400600,167,52,0,502,554,721
72005400700,121,61,0,793,854,975
72005400800,143,0,0,314,314,457
72005400900,62,82,0,211,293,355
72005401200,1664,6,0,169,175,1839
72005401301,224,11,0,1169,1180,1404
72005401303,1062,10,0,317,327,1389
72005401304,283,0,0,1183,1183,1466
72005401401,1585,0,21,2,23,1608
72005401402,1883,0,0,399,399,2282
72005401500,364,71,0,409,480,844
72007230100,935,0,0,502,502,1437
72007230200,1101,0,0,863,863,1964
72007230300,164,108,0,488,596,760
72007230400,1707,0,0,0,0,1707
72007230501,852,0,0,785,785,1637
72007230502,1052,0,0,642,642,1694
72009250100,1732,22,0,348,370,2102
72009250200,1260,0,0,856,856,2116
72009250300,109,250,0,604,854,963
72009250400,323,174,0,511,685,1008
72009250500,333,75,0,1057,1132,1465
72009250600,1411,1,0,600,601,2012
72011810100,29,0,0,1586,1586,1615
72011810200,233,0,0,2564,2564,2797
72011810300,83,59,0,473,532,615
72011810400,107,183,0,161,344,451
72011810500,129,96,193,1733,2022,2151
72011810600,69,0,0,1601,1601,1670
72011810700,713,0,102,461,563,1276
72013300101,633,0,0,1025,1025,1658
72013300102,712,0,0,984,984,1696
72013300200,914,0,352,449,801,1715
72013300301,92,0,0,1143,1143,1235
72013300302,555,0,0,1896,1896,2451
72013300400,120,0,136,492,628,748
72013300500,229,22,0,81,103,332
72013300700,156,46,0,245,291,447
72013300800,108,219,0,600,819,927
72013301000,182,18,0,1363,1381,1563
72013301100,523,0,0,2108,2108,2631
72013301200,105,217,0,723,940,1045
72013301300,160,155,5,125,285,445
72013301400,78,0,0,320,320,398
72013301500,160,0,0,2126,2126,2286
72013301600,1068,0,0,677,677,1745
72013301700,2004,0,0,2,2,2006
72013301800,900,0,0,0,0,900
72013301900,2022,0,13,12,25,2047
72013302000,253,0,0,964,964,1217
72013302100,2094,0,0,0,0,2094
72013302201,1125,0,0,0,0,1125
72013302202,1765,0,0,245,245,2010
72013302300,1045,0,17,11,28,1073
72015280101,4,0,0,1126,1126,1130
72015280102,20,0,0,2358,2358,2378
72015280201,219,81,4,1175,1260,1479
72015280202,192,143,179,1899,2221,2413
72015991500,2,0,0,0,0,2
72017590100,356,0,103,2284,2387,2743
72017590200,235,37,0,918,955,1190
72017590300,534,6,0,2160,2166,2700
72017590400,1000,0,0,1598,1598,2598
72019952201,1300,0,0,228,228,1528
72019952202,1955,0,0,86,86,2041
72019952301,954,0,0,330,330,1284
72019952302,2148,0,0,53,53,2201
72019952400,317,10,0,275,285,602
72019952500,1968,0,0,818,818,2786
72021030101,674,8,61,679,748,1422
72021030103,47,46,0,294,340,387
72021030104,66,275,0,232,507,573
72021030105,37,35,0,771,806,843
72021030200,190,0,0,1146,1146,1336
72021030300,472,79,0,267,346,818
72021030700,56,9,0,328,337,393
72021030800,142,0,0,322,322,464
72021030901,96,9,0,590,599,695
72021030902,46,0,0,817,817,863
72021030903,61,0,0,583,583,644
72021030904,84,0,0,710,710,794
72021031004,110,13,0,622,635,745
72021031005,69,55,0,503,558,627
72021031011,53,6,0,1296,1302,1355
72021031021,218,7,0,1081,1088,1306
72021031023,36,20,0,1050,1070,1106
72021031031,54,105,0,978,1083,1137
72021031032,210,7,0,689,696,906
72021031033,155,23,0,1117,1140,1295
72021031034,52,34,0,772,806,858
72021031035,71,10,0,956,966,1037
72021031101,179,22,0,799,821,1000
72021031113,46,18,0,1044,1062,1108
72021031114,65,127,0,318,445,510
72021031121,62,31,0,975,1006,1068
72021031122,50,3,0,854,857,907
72021031123,43,0,0,977,977,1020
72021031124,72,206,0,251,457,529
72021031125,96,312,0,515,827,923
72021031201,69,50,0,315,365,434
72021031202,94,0,0,541,541,635
72021031203,111,3,0,675,678,789
72021031301,87,3,0,1584,1587,1674
72021031304,31,0,0,901,901,932
72021031305,51,4,0,1087,1091,1142
72021031306,112,19,0,769,788,900
72021031307,39,75,0,631,706,745
72021031401,143,0,0,771,771,914
72021031402,190,16,0,722,738,928
72021031403,96,10,0,854,864,960
72021031501,106,14,0,335,349,455
72021031502,144,0,0,488,488,632
72021031503,146,0,0,555,555,701
72021031611,210,0,0,621,621,831
72021031612,79,64,0,804,868,947
72021031621,96,14,0,282,296,392
72021031622,81,2,0,623,625,706
72021031631,101,0,0,614,614,715
72021031632,81,1,0,550,551,632
72021031641,101,0,0,546,546,647
72021031651,146,0,0,607,607,753
72021031701,290,14,0,1099,1113,1403
72021031702,177,27,0,1218,1245,1422
72021031703,38,0,0,1426,1426,1464
72021031704,68,28,0,1834,1862,1930
72021031800,817,0,0,1389,1389,2206
72021031900,918,0,0,1160,1160,2078
72021032000,722,0,0,0,0,722
72021032100,1017,0,0,0,0,1017
72021032200,1121,0,0,0,0,1121
72021032301,193,0,0,901,901,1094
72021032302,383,0,0,658,658,1041
72023830101,2030,0,0,60,60,2090
72023830102,1052,13,0,899,912,1964
72023830201,788,0,643,520,1163,1951
72023830202,582,0,0,871,871,1453
72023830300,225,32,0,1563,1595,1820
72023830400,203,216,0,1070,1286,1489
72023830502,1304,0,568,397,965,2269
72023830503,128,0,212,1853,2065,2193
72023830504,105,0,0,1214,1214,1319
72023830605,758,0,547,424,971,1729
72023830606,792,0,2591,8,2599,3391
72023830607,2312,0,39,0,39,2351
72023830608,112,0,674,23,697,809
72023980000,125,0,0,0,0,125
72023990000,29,0,0,0,0,29
72025200100,1322,0,0,1762,1762,3084
72025200200,389,0,0,1351,1351,1740
72025200302,237,0,0,1768,1768,2005
72025200304,289,0,0,1488,1488,1777
72025200305,292,0,0,729,729,1021
72025200306,28,0,0,1087,1087,1115
72025200400,274,0,0,605,605,879
72025200500,171,0,0,1134,1134,1305
72025200600,297,0,0,828,828,1125
72025200700,54,0,0,772,772,826
72025200800,114,0,0,578,578,692
72025200900,38,0,0,184,184,222
72025201000,510,4,0,108,112,622
72025201200,57,0,0,519,519,576
72025201300,48,0,0,614,614,662
72025201400,31,0,0,342,342,373
72025201500,103,0,0,493,493,596
72025201600,168,0,0,278,278,446
72025201700,45,0,0,431,431,476
72025201800,70,1,0,547,548,618
72025201900,32,0,0,201,201,233
72025202000,83,0,0,601,601,684
72025202100,42,0,0,707,707,749
72025202200,48,0,0,297,297,345
72025202300,31,0,0,655,655,686
72025202402,239,0,0,1142,1142,1381
72025202403,781,0,0,477,477,1258
72025202404,916,0,0,962,962,1878
72025202500,992,0,0,735,735,1727
72025202601,239,0,0,1063,1063,1302
72025202602,1168,0,0,1082,1082,2250
72025202701,1052,0,0,802,802,1854
72025202702,1373,0,0,504,504,1877
72025202800,1466,0,0,58,58,1524
72027320100,217,80,31,463,574,791
72027320200,836,0,336,1612,1948,2784
72027320300,2981,0,0,672,672,3653
72027320401,248,0,0,1102,1102,1350
72027320402,1565,0,0,0,0,1565
72027320500,2010,0,0,0,0,2010
72027320600,2237,0,0,0,0,2237
72029100101,173,0,0,991,991,1164
72029100103,120,0,0,739,739,859
72029100104,67,0,0,1363,1363,1430
72029100200,254,246,0,0,246,500
72029100400,299,4,0,1677,1681,1980
72029100502,79,13,0,626,639,718
72029100503,64,57,0,1241,1298,1362
72029100504,759,48,0,753,801,1560
72029100601,1344,0,0,61,61,1405
72029100602,450,0,0,980,980,1430
72029100700,1998,0,0,0,0,1998
72029100800,871,0,0,0,0,871
72031050105,30,6,0,312,318,348
72031050106,6,0,51,0,51,57
72031050107,12,0,35,0,35,47
72031050110,83,2,0,1158,1160,1243
72031050111,5,21,73,0,94,99
72031050112,67,0,332,1,333,400
72031050113,57,31,113,0,144,201
72031050211,30,7,0,1000,1007,1037
72031050212,119,11,0,1096,1107,1226
72031050221,105,122,0,1128,1250,1355
72031050222,165,123,0,776,899,1064
72031050231,158,254,0,521,775,933
72031050232,145,0,0,1210,1210,1355
72031050241,79,22,0,1138,1160,1239
72031050242,143,0,0,1079,1079,1222
72031050302,127,9,0,790,799,926
72031050311,75,6,0,676,682,757
72031050321,58,0,0,1064,1064,1122
72031050331,71,0,0,521,521,592
72031050341,74,67,0,729,796,870
