CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
78010970100,1759,0,0,0,0,1759
78010970200,1113,0,0,0,0,1113
78010970300,1401,16,0,0,16,1417
78010970400,2253,21,8,0,29,2282
78010970500,2154,128,0,0,128,2282
78010970600,1252,12,0,0,12,1264
78010970700,1262,24,0,0,24,1286
78010970800,1597,28,0,0,28,1625
78010970900,402,5,0,0,5,407
78010971000,1270,4,0,0,4,1274
78010971100,1388,112,0,0,112,1500
78010971200,1889,47,0,0,47,1936
78010971300,1685,4,0,0,4,1689
78010971400,1718,4,32,0,36,1754
78010971500,1457,50,0,0,50,1507
78010990000,2,0,0,0,0,2
78020950100,1308,0,0,0,0,1308
78020950200,1751,0,0,0,0,1751
78030960100,1152,0,0,0,0,1152
78030960200,1394,0,0,0,0,1394
78030960300,1221,0,0,0,0,1221
78030960400,1654,0,0,0,0,1654
78030960500,2252,0,0,0,0,2252
78030960600,760,0,0,0,0,760
78030960700,1313,0,0,0,0,1313
78030960800,1123,0,0,0,0,1123
78030960900,1292,0,0,0,0,1292
78030961000,1039,0,0,0,0,1039
78030961100,798,1,0,0,1,799
78030961200,571,0,0,0,0,571
